StartTime,StopTime,StartInd,StopTInd,TrialID
22-Jun-2023 13:59:31,22-Jun-2023 14:00:35,1033,2987,M1_T1
22-Jun-2023 14:00:47,22-Jun-2023 14:00:52,3364,3517,M2_T1
22-Jun-2023 14:00:55,22-Jun-2023 14:01:01,3607,3803,M2_T2
22-Jun-2023 14:01:11,22-Jun-2023 14:01:17,4142,4314,M2_T3
22-Jun-2023 14:01:32,22-Jun-2023 14:01:40,4667,4697,M3_T1
22-Jun-2023 14:01:43,22-Jun-2023 14:01:52,4697,4705,M3_T2
22-Jun-2023 14:01:54,22-Jun-2023 14:02:03,4705,4721,M3_T3
22-Jun-2023 14:02:13,22-Jun-2023 14:02:46,4901,5594,M4_T1
22-Jun-2023 14:02:51,22-Jun-2023 14:03:22,5759,6572,M4_T2
22-Jun-2023 14:03:25,22-Jun-2023 14:04:00,6677,7477,M4_T3
22-Jun-2023 14:04:07,22-Jun-2023 14:05:08,7707,8793,M5_T1
